member_csv,age_range,tier,"500000","700000","1000000","1500000","2000000","2500000","3000000","4000000","5000000","6000000","7500000"
"2a,4c",41-45,tier-1,29303.0,30691.0,34347.0,46088.0,48714.0,53070.0,59916.0,73780.0,117599.0,144282.0,181500.0
1a,46-50,tier-1,14168.0,16386.0,18371.0,22337.0,23591.0,24914.0,28925.0,37167.0,63534.0,78722.0,96196.0
"1a,1c",46-50,tier-1,16478.0,19423.0,22171.0,26868.0,28458.0,30288.0,34201.0,43291.0,75701.0,90582.0,113382.0
"1a,2c",46-50,tier-1,20943.0,24269.0,27520.0,34390.0,36410.0,38732.0,43615.0,54596.0,92938.0,111047.0,143578.0
"1a,3c",46-50,tier-1,24773.0,28291.0,32355.0,40865.0,43253.0,47146.0,52221.0,64252.0,103537.0,122447.0,162681.0
"1a,4c",46-50,tier-1,27528.0,31982.0,36197.0,46963.0,50693.0,53896.0,59323.0,73344.0,119050.0,139967.0,187970.0
2a,46-50,tier-1,21984.0,26158.0,29203.0,36160.0,38480.0,40329.0,46851.0,60608.0,104420.0,128356.0,155878.0
"2a,1c",46-50,tier-1,24611.0,31674.0,33390.0,40086.0,45873.0,49286.0,55123.0,70434.0,121985.0,147382.0,182272.0
"2a,2c",46-50,tier-1,28144.0,34995.0,37342.0,44857.0,53826.0,57242.0,64538.0,81738.0,142096.0,169539.0,212467.0
"2a,3c",46-50,tier-1,34508.0,40328.0,45727.0,58380.0,61778.0,65686.0,73952.0,93043.0,158152.0,187862.0,239022.0
"2a,4c",46-50,tier-1,38861.0,45264.0,50277.0,64255.0,67987.0,74130.0,83367.0,104347.0,173203.0,206367.0,265354.0
1a,51-55,tier-1,16655.0,19250.0,21648.0,26198.0,27736.0,29364.0,34211.0,43823.0,82421.0,101174.0,122765.0
"1a,1c",51-55,tier-1,18542.0,21871.0,25040.0,30128.0,31975.0,34102.0,38641.0,48882.0,92514.0,110440.0,136752.0
"1a,2c",51-55,tier-1,23007.0,26693.0,30349.0,37650.0,39927.0,42546.0,48056.0,60186.0,110936.0,132596.0,166948.0
"1a,3c",51-55,tier-1,27471.0,31417.0,36013.0,45173.0,47879.0,51742.0,58045.0,71491.0,120988.0,142558.0,186349.0
